Country Code|Bank Code|Bank Name|Initials|SWIFT/BIC
BR|34711571|VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.|VITREO DTVM S.A.|
BR|35977097|UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.|UP.P SEP S.A.|
BR|36113876|OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.|OLIVEIRA TRUST DTVM S.A.|
BR|36586946|BÔNUSCRED SOCIEDADE DE CRÉDITO DIRETO S.A.|BÔNUSCRED SCD S.A.|
BR|36947229|COBUCCIO SOCIEDADE DE CRÉDITO DIRETO S.A.|COBUCCIO SCD S.A.|
BR|37241230|SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.|SUMUP SCD S.A.|
BR|37715993|ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.|ACCREDITO SCD S.A.|
BR|37880206|CORA SOCIEDADE DE CRÉDITO DIRETO S.A.|CORA SCD S.A.|
BR|40303299|PORTOPAR DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.|PORTOPAR DTVM LTDA|
BR|42272526|BNY Mellon Banco S.A.|BNY MELLON BCO S.A.|
BR|43180355|"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO|PEFISA S.A. - CFI|
BR|44189447|Banco de La Provincia de Buenos Aires|BCO LA PROVINCIA B AIRES BCE|
BR|45246410|Plural S.A. Banco Múltiplo|PLURAL BCO BM|
BR|46518205|"JPMorgan Chase Bank, National Association|JPMORGAN CHASE BANK|
BR|48795256|Banco AndBank (Brasil) S.A.|BCO ANDBANK S.A.|
BR|49336860|ING Bank N.V.|ING BANK N.V.|
BR|50579044|LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.|LEVYCAM CCV LTDA|
BR|50585090|BCV - BANCO DE CRÉDITO E VAREJO S.A.|BCV|
BR|52904364|NECTON INVESTIMENTOS  S.A. CORRETORA DE VALORES MOBILIÁRIOS E COMMODITIES|NECTON INVESTIMENTOS S.A CVM|
BR|52937216|Bexs Corretora de Câmbio S/A|BEXS CC S.A.|
BR|53518684|BANCO HSBC S.A.|BCO HSBC S.A.|
BR|54403563|Banco Arbi S.A.|BCO ARBI S.A.|
BR|54641030|Câmara B3|Câmara B3|
BR|55230916|Intesa Sanpaolo Brasil S.A. - Banco Múltiplo|INTESA SANPAOLO BRASIL S.A. BM|
